Time_ms,Thumb,Index,Middle,Ring,Pinky
0,737,727,754,715,792
10,737,727,754,715,792
20,737,727,754,715,792
30,737,727,754,715,792
40,737,727,754,715,792
50,737,726,755,715,792
60,737,727,754,715,792
70,737,727,754,715,792
80,737,727,754,715,792
90,737,727,754,715,792
100,737,727,754,715,792
110,737,727,754,715,792
120,737,727,754,715,792
130,737,727,754,715,792
140,737,726,754,715,792
150,737,726,754,715,792
160,737,727,754,716,792
170,737,727,754,715,792
180,737,727,754,715,792
190,737,727,754,715,791
200,737,727,754,715,792
210,737,727,754,716,792
220,737,726,754,715,792
230,737,727,754,715,792
240,737,727,754,715,792
250,737,727,754,715,792
260,737,727,754,715,792
270,737,727,754,715,792
280,737,726,754,715,792
290,737,727,754,715,792
300,737,727,754,715,792
310,737,727,754,715,792
320,738,727,754,715,792
330,737,726,754,715,792
340,737,727,754,715,792
350,737,727,754,715,792
360,737,727,754,715,792
370,737,727,754,715,792
380,737,727,754,715,792
390,737,726,754,715,792
400,737,727,754,715,792
410,737,726,754,715,792
420,737,727,754,715,792
430,737,727,754,715,792
440,737,727,754,715,792
450,737,727,754,715,792
460,737,727,754,715,792
470,737,727,754,715,792
480,737,727,754,715,792
490,737,727,755,716,792
500,737,727,754,715,792
510,737,727,754,715,792
520,737,726,754,715,792
530,737,727,754,715,792
540,737,727,754,715,792
550,737,727,754,716,792
560,737,727,754,715,792
570,737,727,754,715,792
580,737,727,754,715,792
590,737,726,754,715,792
600,737,727,754,715,792
610,737,727,754,715,792
620,737,726,754,715,792
630,737,726,754,716,792
640,737,727,754,715,792
650,737,727,754,715,792
660,737,727,754,715,792
670,737,727,754,715,792
680,737,727,754,715,792
690,737,727,755,715,792
700,737,727,754,715,792
710,737,727,754,715,792
720,737,727,754,715,792
730,737,727,754,715,792
740,737,727,754,715,792
750,737,727,754,715,792
760,737,727,754,715,792
770,737,726,754,715,792
780,737,727,754,715,792
790,737,727,754,715,792
800,737,727,754,715,792
810,737,726,754,715,792
820,737,727,754,715,792
830,737,727,754,715,792
840,737,727,754,715,792
850,737,727,754,715,792
860,737,727,754,715,792
870,737,727,754,715,792
880,737,727,754,715,792
890,737,727,754,715,792
900,737,727,754,715,792
910,737,726,754,715,792
920,737,726,754,715,792
930,737,726,754,715,792
940,737,727,754,715,792
950,737,727,754,715,792
960,737,726,754,715,792
970,737,727,754,715,792
980,737,727,754,715,792
990,737,726,754,715,792
1000,737,727,754,716,792
1010,737,727,754,715,792
1020,737,726,754,715,792
1030,737,727,755,715,791
1040,737,727,754,715,792
1050,737,727,754,715,792
1060,737,727,754,715,792
1070,737,727,754,715,792
1080,737,727,754,715,792
1090,737,727,754,715,792
1100,737,727,754,715,792
1110,737,727,755,716,792
1120,737,726,755,716,792
1130,737,727,754,716,792
1140,737,727,754,715,792
1150,737,727,754,715,792
1160,737,727,754,715,792
1170,737,727,754,715,792
1180,737,727,754,715,792
1190,737,727,754,716,792
1200,737,727,754,715,791
1210,737,727,754,715,792
1220,737,726,754,715,792
1230,737,727,754,715,792
1240,737,727,754,715,792
1250,737,727,754,715,792
1260,737,727,754,715,792
1270,737,727,754,715,792
1280,737,727,754,715,792
1290,737,726,754,716,792
1300,737,727,754,716,792
1310,737,727,754,715,792
1320,737,727,754,715,792
1330,737,727,754,715,792
1340,737,727,754,715,792
1350,737,727,754,715,792
1360,737,727,754,716,792
1370,737,727,754,715,792
1380,737,727,754,716,792
1390,737,727,754,715,792
1400,737,727,755,715,792
1410,737,727,754,715,792
1420,737,727,754,715,792
1430,737,727,754,715,792
1440,737,727,754,715,792
1450,737,727,754,716,792
1460,737,726,755,715,790
1470,737,727,754,715,792
1480,737,727,754,716,792
1490,737,727,755,715,792
1500,737,727,754,715,792
1510,737,726,754,715,792
1520,737,727,754,715,792
1530,737,727,754,715,792
1540,737,726,754,715,792
1550,737,727,754,715,792
1560,737,727,754,715,792
1570,737,727,754,715,792
1580,737,727,754,715,792
1590,737,726,754,715,792
1600,737,726,754,715,792
1610,737,727,754,715,792
1620,737,727,754,716,792
1630,737,726,754,715,792
1640,737,727,754,715,792
1650,737,727,754,715,792
1660,737,727,754,716,792
1670,737,726,754,715,792
1680,737,727,754,715,792
1690,737,727,754,715,792
1700,737,727,754,715,792
1710,737,727,754,716,792
1720,737,727,754,715,792
1730,737,727,754,715,792
1740,737,727,754,716,792
1750,738,727,754,715,792
1760,738,727,754,715,792
1770,738,727,754,716,792
1780,738,727,754,716,792
1790,738,727,754,716,792
1800,737,727,754,716,792
1810,738,727,755,715,791
1820,738,727,755,716,792
1830,739,727,754,716,792
1840,739,727,755,716,792
1850,739,727,755,716,792
1860,740,727,754,716,793
1870,741,728,755,716,792
1880,741,728,755,717,793
1890,742,728,755,717,793
1900,742,728,755,718,793
1910,743,728,755,718,791
1920,744,728,755,719,793
1930,745,729,755,721,793
1940,746,730,755,722,794
1950,748,730,756,724,794
1960,749,731,756,726,796
1970,750,732,756,729,795
1980,751,733,756,731,796
1990,753,734,756,734,797
2000,755,736,756,737,799
2010,756,737,757,739,800
2020,758,738,758,741,802
2030,760,739,758,743,805
2040,761,740,758,745,808
2050,763,741,759,747,812
2060,765,742,760,748,815
2070,766,743,761,749,819
2080,767,744,762,751,822
2090,768,746,763,752,825
2100,769,747,763,754,828
2110,771,748,764,756,831
2120,773,749,765,757,834
2130,775,750,766,759,836
2140,776,752,767,761,838
2150,778,753,768,763,841
2160,780,754,769,764,842
2170,781,755,769,766,844
2180,783,757,771,768,846
2190,784,758,771,770,847
2200,786,759,772,771,849
2210,787,760,774,773,850
2220,788,761,774,775,852
2230,790,763,775,776,853
2240,791,764,776,778,854
2250,793,765,777,779,856
2260,794,767,777,780,857
