Architecture,Units,Run,Accuracy(%),BestValAccuracy(%),TestLoss,EpochsTrained,Channels,InputColumns
LTC-1,1,1,68.99999976158142,74.00000095367432,1.0715137720108032,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,2,64.49999809265137,68.00000071525574,0.7845101952552795,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,3,66.50000214576721,64.49999809265137,0.7942243814468384,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,4,66.00000262260437,68.99999976158142,0.7927329540252686,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,5,69.49999928474426,73.50000143051147,1.0638447999954224,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,6,68.00000071525574,70.49999833106995,0.7814134359359741,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,7,66.50000214576721,68.99999976158142,0.78901207447052,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,8,68.50000023841858,73.00000190734863,1.120458722114563,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,9,67.5000011920929,64.49999809265137,1.1842008829116821,2000,3ch,"Thumb,Middle,Pinky"
LTC-1,1,10,68.50000023841858,75.99999904632568,1.1431294679641724,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,1,75.99999904632568,83.49999785423279,0.6842382550239563,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,2,73.00000190734863,75.0,0.5916606187820435,1295,3ch,"Thumb,Middle,Pinky"
LTC-2,2,3,77.99999713897705,85.00000238418579,0.4924437403678894,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,4,77.49999761581421,80.0000011920929,0.6359900236129761,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,5,80.0000011920929,82.99999833106995,0.45491379499435425,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,6,80.50000071525574,83.99999737739563,0.4183894395828247,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,7,76.49999856948853,79.50000166893005,0.7158295512199402,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,8,80.0000011920929,84.50000286102295,0.4212603271007538,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,9,80.0000011920929,80.50000071525574,0.4301922619342804,2000,3ch,"Thumb,Middle,Pinky"
LTC-2,2,10,79.50000166893005,85.00000238418579,0.4217759966850281,2000,3ch,"Thumb,Middle,Pinky"
LTC-4,4,1,91.50000214576721,93.50000023841858,0.29260751605033875,1507,3ch,"Thumb,Middle,Pinky"
LTC-4,4,2,81.99999928474426,84.50000286102295,0.3515247702598572,796,3ch,"Thumb,Middle,Pinky"
LTC-4,4,3,85.00000238418579,87.99999952316284,0.4665795564651489,1348,3ch,"Thumb,Middle,Pinky"
LTC-4,4,4,85.00000238418579,88.99999856948853,0.30373436212539673,888,3ch,"Thumb,Middle,Pinky"
LTC-4,4,5,88.99999856948853,88.49999904632568,0.3724065124988556,2000,3ch,"Thumb,Middle,Pinky"
LTC-4,4,6,86.00000143051147,87.5,0.4221818149089813,2000,3ch,"Thumb,Middle,Pinky"
LTC-4,4,7,83.49999785423279,86.50000095367432,0.34586814045906067,908,3ch,"Thumb,Middle,Pinky"
LTC-4,4,8,87.5,91.00000262260437,0.3766579329967499,2000,3ch,"Thumb,Middle,Pinky"
LTC-4,4,9,86.00000143051147,83.49999785423279,0.3581349849700928,725,3ch,"Thumb,Middle,Pinky"
LTC-4,4,10,90.49999713897705,90.49999713897705,0.29513540863990784,1173,3ch,"Thumb,Middle,Pinky"
LTC-8,8,1,93.00000071525574,93.50000023841858,0.31414490938186646,1051,3ch,"Thumb,Middle,Pinky"
LTC-8,8,2,90.49999713897705,93.00000071525574,0.3627158999443054,603,3ch,"Thumb,Middle,Pinky"
LTC-8,8,3,84.50000286102295,88.49999904632568,0.3205070495605469,438,3ch,"Thumb,Middle,Pinky"
