Architecture,Units,MeanAccuracy,StdAccuracy,MinAccuracy,MaxAccuracy,Runs,MeanEpochs
LTC-1,1,67.45000064373016,1.553669267308471,64.49999809265137,69.49999928474426,10,2000.0
LTC-2,2,78.10000002384186,2.4013888170866435,73.00000190734863,80.50000071525574,10,1929.5
LTC-4,4,86.60000026226044,3.025814730287296,81.99999928474426,91.50000214576721,10,1334.5
LTC-8,8,89.39999997615814,2.766866930259872,84.50000286102295,93.00000071525574,10,799.1
LTC-16,16,89.75000023841858,2.6588426440895545,85.50000190734863,93.00000071525574,10,595.0
