Model,SNR Level,Run,Accuracy (%)
LTC-4,Clean,7,91.8749988079071
LTC-4,Clean,8,89.99999761581421
LTC-4,Clean,9,89.3750011920929
LTC-4,Clean,10,87.5
LTC-4,45 dB,1,89.99999761581421
LTC-4,45 dB,2,88.12500238418579
LTC-4,45 dB,3,89.99999761581421
LTC-4,45 dB,4,89.3750011920929
LTC-4,45 dB,5,88.7499988079071
LTC-4,45 dB,6,91.25000238418579
LTC-4,45 dB,7,91.25000238418579
LTC-4,45 dB,8,89.99999761581421
LTC-4,45 dB,9,89.3750011920929
LTC-4,45 dB,10,87.5
LTC-4,30 dB,1,89.99999761581421
LTC-4,30 dB,2,88.7499988079071
LTC-4,30 dB,3,89.99999761581421
LTC-4,30 dB,4,88.7499988079071
LTC-4,30 dB,5,88.12500238418579
LTC-4,30 dB,6,91.8749988079071
LTC-4,30 dB,7,92.5000011920929
LTC-4,30 dB,8,89.3750011920929
LTC-4,30 dB,9,88.7499988079071
LTC-4,30 dB,10,87.5
LTC-4,15 dB,1,84.375
LTC-4,15 dB,2,87.5
LTC-4,15 dB,3,83.74999761581421
LTC-4,15 dB,4,83.1250011920929
LTC-4,15 dB,5,78.125
LTC-4,15 dB,6,85.00000238418579
LTC-4,15 dB,7,77.49999761581421
LTC-4,15 dB,8,87.5
LTC-4,15 dB,9,82.4999988079071
LTC-4,15 dB,10,82.4999988079071
