Model,Samples_Per_Class,Run,Accuracy
LSTM-8,3,2,66.66666865348816
LSTM-8,3,3,38.333332538604736
LSTM-8,3,4,78.33333611488342
LSTM-8,3,5,64.99999761581421
LSTM-8,3,6,56.66666626930237
LSTM-8,3,7,55.000001192092896
LSTM-8,3,8,58.33333134651184
LSTM-8,3,9,34.99999940395355
LSTM-8,3,10,44.999998807907104
LTC-4,60,1,83.33333134651184
LTC-4,60,2,80.0000011920929
LTC-4,60,3,85.00000238418579
LTC-4,60,4,81.66666626930237
LTC-4,60,5,81.66666626930237
LTC-4,60,6,81.66666626930237
LTC-4,60,7,83.33333134651184
LTC-4,60,8,85.00000238418579
LTC-4,60,9,85.00000238418579
LTC-4,60,10,83.33333134651184
LTC-4,30,1,81.66666626930237
LTC-4,30,2,78.33333611488342
LTC-4,30,3,76.66666507720947
LTC-4,30,4,78.33333611488342
LTC-4,30,5,81.66666626930237
LTC-4,30,6,80.0000011920929
LTC-4,30,7,80.0000011920929
LTC-4,30,8,81.66666626930237
LTC-4,30,9,78.33333611488342
LTC-4,30,10,78.33333611488342
LTC-4,15,1,75.0
LTC-4,15,2,69.9999988079071
LTC-4,15,3,76.66666507720947
LTC-4,15,4,78.33333611488342
LTC-4,15,5,63.333332538604736
LTC-4,15,6,73.33333492279053
LTC-4,15,7,76.66666507720947
LTC-4,15,8,85.00000238418579
LTC-4,15,9,78.33333611488342
LTC-4,15,10,83.33333134651184
LTC-4,6,1,41.66666567325592
LTC-4,6,2,66.66666865348816
LTC-4,6,3,58.33333134651184
LTC-4,6,4,66.66666865348816
LTC-4,6,5,55.000001192092896
LTC-4,6,6,46.666666865348816
LTC-4,6,7,63.333332538604736
LTC-4,6,8,69.9999988079071
LTC-4,6,9,68.33333373069763
LTC-4,6,10,66.66666865348816
LTC-4,3,1,50.0
LTC-4,3,2,30.000001192092896
LTC-4,3,3,50.0
LTC-4,3,4,40.00000059604645
LTC-4,3,5,48.33333194255829
LTC-4,3,6,44.999998807907104
LTC-4,3,7,46.666666865348816
LTC-4,3,8,58.33333134651184
LTC-4,3,9,31.666666269302368
LTC-4,3,10,34.99999940395355
LTC-8,60,1,86.66666746139526
LTC-8,60,2,83.33333134651184
LTC-8,60,3,86.66666746139526
LTC-8,60,4,83.33333134651184
LTC-8,60,5,88.33333253860474
LTC-8,60,6,85.00000238418579
LTC-8,60,7,80.0000011920929
LTC-8,60,8,83.33333134651184
LTC-8,60,9,85.00000238418579
LTC-8,60,10,85.00000238418579
LTC-8,30,1,78.33333611488342
LTC-8,30,2,80.0000011920929
LTC-8,30,3,86.66666746139526
LTC-8,30,4,83.33333134651184
LTC-8,30,5,81.66666626930237
LTC-8,30,6,83.33333134651184
LTC-8,30,7,80.0000011920929
LTC-8,30,8,76.66666507720947
LTC-8,30,9,83.33333134651184
LTC-8,30,10,88.33333253860474
