Thumb,Index,Middle,Ring,Pinky
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.92155337215652
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8500426315744422,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.7997511107146982,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.92155337215652
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.7991327552438333,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8246879970974552,-0.92155337215652
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.92155337215652
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8795629038144684,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8502432389510771,-0.9460634784305572
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.9460634784305572
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.7991327552438333,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8725331596084457
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8502432389510771,-0.9460634784305572
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.92155337215652
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.92155337215652
-0.8795629038144684,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8502432389510771,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7629637883866579,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.703693363363097,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8795629038144684,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8473078273747732,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8795629038144684,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8473078273747732,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8246879970974552,-0.8970432658824828
-0.8795629038144684,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8246879970974552,-0.92155337215652
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8795629038144684,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8795629038144684,-0.7234501717042839,-0.8500426315744422,-0.7991327552438333,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.7997511107146982,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.9460634784305572
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8473078273747732,-0.7234501717042839,-0.8500426315744422,-0.7991327552438333,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.92155337215652
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8725331596084457
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8795629038144684,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8500426315744422,-0.8246879970974552,-0.8970432658824828
-0.8634353655946209,-0.7234501717042839,-0.8248968711445701,-0.8246879970974552,-0.92155337215652
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8502432389510771,-0.8970432658824828
-0.8634353655946209,-0.7432069800454709,-0.8248968711445701,-0.8246879970974552,-0.8970432658824828
