time_s,theta1_deg,theta1_corrected_deg,theta1_delta_deg,theta2_deg,theta2_corrected_deg,theta2_delta_deg
0.0,2.902826,0.0,-2.902826,3.060651,0.0,-3.060651
0.5,2.72628,0.0,-2.72628,1.684277,0.0,-1.684277
1.0,0.0,0.0,0.0,4.085546,0.0,-4.085546
4.0,67.169379,62.86487100000001,-4.3045079999999984,60.43515,60.256878,-0.17827199999999976
4.5,58.560363,62.86487100000001,4.3045080000000056,60.078606,60.256878,0.17827199999999976
5.0,67.645612,65.60561849999999,-2.0399935000000085,67.5353,67.5353,0.0
5.5,63.565625,65.60561849999999,2.0399934999999942,68.763129,68.763129,0.0
