metric,bptt_mean,ga_mean,delta_mean,delta_median,delta_std,improved_runs,n_runs,paired_t_p,wilcoxon_p
Test Accuracy (%),85.6166668732961,87.1,1.483333126703898,1.0000019073486328,1.1332239103831405,28,30,6.840216623644655e-08,2.847002324004625e-06
Test Loss,0.37312849760055544,0.36550546528470185,-0.007623032315853634,-0.0063254117959287,0.011723006474665142,19,30,0.0012959213412917093,0.0009517744183540344
Macro-F1 (%),85.57724539324417,87.06054802004653,1.4833026268023484,1.0300682204377622,1.1448694722637374,30,30,8.293078734100982e-08,1.862645149230957e-09
