"run","method","true_label","predicted_label","count","row_percent"
"2","BPTT checkpoint","Stuffed Ball","3D-Printed Part","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Baseball","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Bottle","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Sponge Dice","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Tape","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Plush Toy","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Optical Mouse","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Smartphone","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Rubik's Cube","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","Stuffed Ball","0","0.0"
"2","BPTT checkpoint","3D-Printed Part","3D-Printed Part","20","100.0"
"3","BPTT checkpoint","Baseball","Baseball","16","80.0"
"3","BPTT checkpoint","Baseball","Bottle","0","0.0"
"3","BPTT checkpoint","Baseball","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Baseball","Tape","3","15.0"
"3","BPTT checkpoint","Baseball","Plush Toy","0","0.0"
"3","BPTT checkpoint","Baseball","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Baseball","Smartphone","0","0.0"
"3","BPTT checkpoint","Baseball","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Baseball","Stuffed Ball","1","5.0"
"3","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Bottle","Baseball","0","0.0"
"3","BPTT checkpoint","Bottle","Bottle","20","100.0"
"3","BPTT checkpoint","Bottle","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Bottle","Tape","0","0.0"
"3","BPTT checkpoint","Bottle","Plush Toy","0","0.0"
"3","BPTT checkpoint","Bottle","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Bottle","Smartphone","0","0.0"
"3","BPTT checkpoint","Bottle","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Bottle","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","Bottle","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Baseball","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Bottle","1","5.0"
"3","BPTT checkpoint","Sponge Dice","Sponge Dice","18","90.0"
"3","BPTT checkpoint","Sponge Dice","Tape","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Plush Toy","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Smartphone","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Sponge Dice","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","Sponge Dice","3D-Printed Part","1","5.0"
"3","BPTT checkpoint","Tape","Baseball","0","0.0"
"3","BPTT checkpoint","Tape","Bottle","0","0.0"
"3","BPTT checkpoint","Tape","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Tape","Tape","15","75.0"
"3","BPTT checkpoint","Tape","Plush Toy","0","0.0"
"3","BPTT checkpoint","Tape","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Tape","Smartphone","0","0.0"
"3","BPTT checkpoint","Tape","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Tape","Stuffed Ball","5","25.0"
"3","BPTT checkpoint","Tape","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Plush Toy","Baseball","0","0.0"
"3","BPTT checkpoint","Plush Toy","Bottle","0","0.0"
"3","BPTT checkpoint","Plush Toy","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Plush Toy","Tape","0","0.0"
"3","BPTT checkpoint","Plush Toy","Plush Toy","15","75.0"
"3","BPTT checkpoint","Plush Toy","Optical Mouse","5","25.0"
