metric,bptt_mean,ga_mean,delta_mean,delta_median,delta_std,improved_runs,n_runs,paired_t_p,wilcoxon_p
Test Accuracy (%),90.09999990463257,90.65,0.5500000953674317,0.499997615814209,0.7695728132549892,23,30,0.0005043963616948727,0.0015876905635001802
Test Loss,0.3333655551075935,0.3220041934735635,-0.011361361634029952,-0.0109330444790692,0.018935092001254983,23,30,0.0026583910293586743,0.0020201820880174637
Macro-F1 (%),90.0629855423484,90.61144715635,0.5484616140015802,0.4308670808564869,0.7836343998543027,22,30,0.0006275633031041573,0.0009149575215593386
