Time_ms,Thumb,Middle,Pinky
0,748,772,795
10,747,772,795
20,747,772,795
30,747,772,797
40,747,772,795
50,747,772,794
60,748,772,795
70,747,773,795
80,747,772,795
90,747,772,794
100,748,772,795
110,748,772,795
120,747,772,795
130,747,772,795
140,747,772,796
150,747,772,794
160,747,771,795
170,747,772,795
180,747,772,795
190,748,772,795
200,748,772,795
210,747,772,795
220,748,772,794
230,748,772,794
240,748,772,795
250,748,772,794
260,747,772,794
270,747,772,795
280,748,772,795
290,747,772,795
300,747,772,795
310,747,772,795
320,747,772,796
330,747,772,795
340,747,772,794
350,747,773,795
360,747,772,794
370,747,773,795
380,747,772,795
390,748,772,794
400,748,771,794
410,747,773,795
420,747,772,795
430,747,772,794
440,747,772,795
450,747,772,795
460,747,772,795
470,747,771,795
480,747,772,797
490,747,773,795
500,747,772,795
510,748,772,795
520,747,772,795
530,747,772,793
540,747,772,795
550,747,772,794
560,748,772,794
570,748,772,795
580,747,772,797
590,748,773,795
600,747,772,795
610,747,772,796
620,747,772,793
630,747,772,794
640,747,772,794
650,747,772,795
660,747,771,794
670,748,772,795
680,747,772,794
690,747,772,794
700,748,772,795
710,747,772,797
720,747,772,794
730,747,772,795
740,747,771,795
750,747,772,795
760,747,772,795
770,747,772,795
780,747,772,796
790,748,772,795
800,747,772,795
810,748,772,794
820,747,772,795
830,747,772,795
840,748,772,794
850,747,772,795
860,747,772,794
870,747,772,795
880,747,772,795
890,747,772,797
900,747,772,795
910,747,772,794
920,747,772,794
930,747,773,795
940,747,772,795
950,747,772,795
960,747,772,795
970,748,772,795
980,748,771,795
990,747,772,795
1000,748,772,794
1010,747,773,795
1020,747,772,794
1030,747,772,796
1040,748,772,794
1050,747,772,795
1060,747,772,794
1070,748,772,795
1080,747,772,795
1090,747,772,795
1100,747,772,794
1110,747,772,794
1120,747,772,795
1130,747,772,797
1140,747,772,795
1150,747,772,795
1160,747,772,795
1170,747,772,795
1180,747,772,795
1190,748,773,795
1200,748,772,795
1210,748,772,795
1220,747,772,795
1230,747,771,794
1240,748,772,795
1250,747,773,795
1260,747,772,794
1270,747,772,794
1280,747,773,795
1290,747,773,795
1300,747,772,795
1310,747,772,795
1320,747,772,794
1330,748,772,795
1340,747,772,795
1350,747,771,795
1360,748,772,795
1370,747,772,795
1380,747,772,793
1390,747,772,795
1400,747,771,795
1410,747,772,795
1420,747,772,796
1430,747,772,794
1440,747,772,795
1450,747,772,794
1460,747,771,795
1470,748,772,795
1480,748,772,794
1490,748,772,795
1500,747,772,795
1510,748,771,795
1520,748,772,797
1530,748,772,795
1540,749,771,795
1550,748,772,796
1560,749,771,795
1570,749,771,796
1580,750,771,796
1590,749,771,796
1600,750,771,796
1610,751,770,796
1620,751,770,797
1630,752,770,796
1640,752,770,797
1650,754,770,798
1660,755,770,798
1670,756,771,798
1680,758,771,799
1690,761,772,800
1700,764,772,801
1710,767,773,801
1720,772,773,803
1730,775,774,804
1740,777,776,806
1750,781,776,808
1760,783,778,810
1770,786,780,813
1780,788,782,815
1790,790,785,817
1800,792,787,820
1810,794,790,823
1820,797,791,825
1830,797,793,828
1840,800,796,831
1850,802,798,833
1860,803,800,836
1870,805,802,838
1880,806,804,841
1890,809,807,843
1900,810,809,844
1910,811,811,843
1920,813,812,848
1930,815,814,848
1940,815,816,849
1950,817,817,851
1960,819,820,852
1970,819,821,854
1980,821,823,855
1990,822,826,858
2000,824,823,857
2010,825,824,859
2020,825,825,860
2030,826,824,861
2040,827,824,862
2050,828,824,863
2060,830,825,862
2070,830,824,864
2080,831,824,866
2090,832,824,866
2100,833,824,868
2110,834,825,868
2120,835,824,869
2130,835,824,871
2140,836,824,872
2150,837,825,872
2160,837,824,873
2170,838,824,874
2180,838,825,874
2190,839,825,875
2200,839,825,875
2210,840,825,873
2220,840,824,874
2230,841,825,875
2240,842,826,875
2250,842,825,874
2260,842,825,876
2270,842,825,873
2280,843,825,874
2290,843,825,877
2300,843,825,874
2310,844,825,874
2320,845,825,876
2330,844,826,875
2340,845,827,876
2350,845,826,877
2360,845,826,876
2370,845,825,875
2380,845,826,877
2390,845,826,877
2400,845,826,879
2410,846,826,877
2420,846,826,877
2430,846,827,877
2440,845,826,877
2450,847,827,877
2460,846,827,877
2470,846,827,878
2480,846,828,877
2490,846,827,877
2500,846,827,877
