Time_ms,Thumb,Middle,Pinky
0,736,769,806
10,736,770,806
20,735,769,806
30,736,769,806
40,736,770,806
50,736,770,806
60,736,770,806
70,736,770,806
80,736,770,806
90,736,769,807
100,736,770,806
110,737,770,806
120,736,770,806
130,736,770,806
140,736,770,806
150,736,770,806
160,736,770,806
170,736,770,806
180,736,770,806
190,736,769,806
200,735,770,807
210,737,770,806
220,736,770,806
230,735,769,806
240,736,770,806
250,736,769,806
260,736,770,806
270,736,770,807
280,736,770,806
290,735,770,806
300,736,770,806
310,735,769,806
320,736,770,806
330,736,770,806
340,736,770,807
350,735,769,807
360,736,770,807
370,735,770,806
380,736,769,806
390,736,770,806
400,736,770,807
410,736,769,806
420,736,769,804
430,736,770,807
440,735,769,807
450,736,770,806
460,736,770,807
470,735,770,807
480,736,770,806
490,736,770,806
500,736,770,807
510,736,770,806
520,736,770,806
530,735,769,806
540,736,768,806
550,737,770,807
560,736,769,806
570,736,770,806
580,736,770,806
590,736,770,806
600,736,770,806
610,735,769,807
620,736,769,806
630,736,770,807
640,735,769,806
650,736,770,806
660,736,770,806
670,736,770,806
680,736,770,806
690,736,769,806
700,736,770,806
710,736,770,806
720,736,769,806
730,735,770,806
740,736,769,806
750,736,770,805
760,736,770,806
770,736,770,807
780,736,770,807
790,736,769,807
800,736,770,807
810,735,770,807
820,736,769,806
830,736,770,806
840,736,770,806
850,736,770,807
860,736,770,806
870,736,769,806
880,736,770,807
890,736,770,807
900,736,769,804
910,736,770,806
920,735,769,807
930,736,770,806
940,736,770,807
950,736,770,806
960,736,770,807
970,736,769,806
980,736,770,806
990,736,770,806
1000,736,770,806
1010,735,770,806
1020,736,769,807
1030,736,770,807
1040,736,769,806
1050,736,770,806
1060,736,770,806
1070,736,769,807
1080,735,769,805
1090,735,770,807
1100,736,770,806
1110,736,770,806
1120,736,769,807
1130,736,770,806
1140,736,769,807
1150,735,770,807
1160,736,770,806
1170,736,770,806
1180,736,770,806
1190,736,769,806
1200,736,770,806
1210,736,770,806
1220,736,769,807
1230,736,769,806
1240,736,770,807
1250,736,770,807
1260,737,769,805
1270,736,769,807
1280,737,769,807
1290,737,770,807
1300,737,770,807
1310,737,769,808
1320,738,769,807
1330,738,769,807
1340,738,770,806
1350,739,770,807
1360,740,769,807
1370,741,769,807
1380,742,770,807
1390,743,770,807
1400,744,769,807
1410,745,770,807
1420,747,770,807
1430,748,770,808
1440,750,770,807
1450,752,771,808
1460,753,771,808
1470,755,772,808
1480,757,774,809
1490,758,775,809
1500,761,776,810
1510,762,778,811
1520,763,780,811
1530,765,782,813
1540,767,783,813
1550,769,786,815
1560,770,787,816
1570,771,789,817
1580,773,790,819
1590,775,792,821
1600,777,794,824
1610,778,795,825
1620,780,798,828
1630,782,799,830
1640,783,799,831
1650,786,801,834
1660,787,803,836
1670,788,804,838
1680,790,806,839
1690,791,806,841
1700,792,808,843
1710,793,810,845
1720,794,811,846
1730,796,813,847
1740,797,815,850
1750,799,817,851
1760,800,817,852
1770,802,819,853
1780,803,821,855
1790,803,823,856
1800,805,824,857
1810,806,823,857
1820,807,824,859
1830,808,825,860
1840,808,825,861
1850,810,826,865
1860,810,826,865
1870,811,826,865
1880,811,827,865
1890,812,826,866
1900,812,826,867
1910,812,826,869
1920,813,826,871
1930,813,827,871
1940,813,827,871
1950,814,828,871
1960,814,827,871
1970,814,827,871
1980,815,827,872
1990,815,828,871
2000,816,828,872
2010,816,828,871
2020,816,829,869
2030,816,828,871
2040,816,829,871
2050,816,829,869
2060,817,830,871
2070,816,830,871
2080,817,831,871
2090,817,831,872
2100,818,831,872
2110,818,831,869
2120,817,832,873
2130,819,832,873
2140,819,832,872
2150,820,833,871
2160,820,833,872
2170,821,833,872
2180,821,833,872
2190,822,833,872
2200,826,834,872
2210,828,834,873
2220,828,835,872
2230,828,834,872
2240,828,835,872
2250,828,835,873
2260,828,835,870
2270,828,835,872
2280,829,835,873
2290,828,836,872
2300,828,836,872
2310,828,836,872
2320,828,837,872
2330,828,836,875
2340,829,836,872
2350,828,836,872
2360,829,837,872
2370,828,837,872
2380,829,837,872
2390,829,837,872
2400,829,837,872
2410,829,837,873
2420,829,837,872
2430,829,837,871
2440,830,837,871
2450,829,837,872
2460,830,837,872
2470,830,837,872
2480,830,837,873
2490,829,837,872
2500,830,838,872
2510,830,838,872
2520,830,838,872
2530,830,838,872
2540,830,838,872
2550,830,838,872
2560,830,838,873
2570,831,839,872
2580,831,838,872
2590,831,838,873
2600,831,838,873
2610,831,839,872
2620,831,839,870
2630,831,838,873
2640,831,839,872
2650,831,839,873
2660,831,838,872
2670,831,839,872
2680,831,839,871
2690,831,838,873
2700,831,838,873
2710,831,839,872
2720,831,839,873
2730,832,838,873
2740,831,839,874
2750,831,839,873
2760,831,840,873
2770,832,839,873
2780,831,839,873
2790,831,839,872
2800,831,839,873
2810,831,839,873
2820,831,839,873
2830,831,839,870
2840,832,839,873
2850,831,839,874
2860,831,839,873
2870,831,839,873
2880,832,839,872
2890,831,839,871
2900,831,839,871
2910,832,839,873
2920,832,839,873
2930,831,840,872
2940,831,839,870
2950,831,839,872
2960,831,838,873
2970,832,839,870
2980,832,839,872
2990,831,839,872
3000,832,839,873
3010,832,839,870
3020,832,839,872
3030,832,838,872
3040,831,839,872
3050,832,838,872
3060,831,838,872
3070,831,839,870
3080,832,839,872
3090,832,838,872
3100,831,838,872
3110,832,839,872
3120,831,839,872
3130,832,838,872
3140,832,838,872
3150,832,838,872
3160,832,839,871
3170,832,838,872
3180,831,838,872
3190,831,838,871
3200,832,838,872
3210,832,838,872
3220,832,838,871
3230,831,838,872
3240,832,838,872
3250,832,837,872
3260,832,838,871
3270,831,838,871
3280,832,838,872
3290,832,839,871
3300,831,838,871
3310,831,838,872
3320,831,838,871
3330,832,838,872
3340,832,838,871
3350,831,838,872
3360,831,837,872
3370,831,838,872
3380,831,838,871
3390,831,839,872
3400,831,838,872
3410,832,838,872
3420,831,839,872
3430,832,838,872
3440,832,838,871
3450,832,838,871
3460,831,838,872
3470,831,839,872
3480,831,838,872
3490,832,838,871
3500,831,839,872
3510,831,838,872
3520,832,839,872
3530,831,838,873
3540,831,839,870
3550,832,839,871
3560,831,839,872
3570,831,838,872
3580,831,838,871
3590,831,838,872
3600,831,839,871
3610,831,839,872
3620,831,839,872
3630,832,838,872
3640,831,838,871
3650,831,839,873
