Time_ms,Thumb,Middle,Pinky
0,681,694,729
10,681,695,728
20,680,694,728
30,681,694,728
40,680,694,727
50,679,693,726
60,679,692,726
70,681,694,728
80,680,693,728
90,680,693,727
100,680,693,727
110,679,692,728
120,679,693,727
130,679,691,726
140,680,694,727
150,680,692,725
160,677,691,723
170,677,692,726
180,678,692,727
190,678,692,726
200,680,693,727
210,680,694,728
220,681,694,728
230,680,693,727
240,680,694,728
250,681,694,728
260,681,694,728
270,680,693,727
280,679,692,726
290,679,692,727
300,675,689,722
310,674,688,722
320,674,688,722
330,675,688,722
340,675,688,722
350,675,689,722
360,675,689,722
370,674,688,721
380,674,687,721
390,674,687,721
400,672,686,719
410,671,685,717
420,671,684,718
430,671,684,717
440,670,684,715
450,672,685,718
460,669,683,717
470,671,685,717
480,670,684,717
490,673,685,719
500,671,685,720
510,673,686,721
520,673,685,721
530,671,685,718
540,672,685,719
550,672,685,719
560,673,685,719
570,673,686,721
580,673,686,720
590,673,686,720
600,673,687,720
610,673,687,720
620,675,688,722
630,675,689,722
640,675,689,721
650,674,688,721
660,674,688,721
670,677,690,723
680,676,689,723
690,674,688,721
700,673,685,719
710,671,685,718
720,671,684,717
730,669,683,716
740,669,681,715
750,669,682,716
760,667,681,713
770,666,679,712
780,667,681,712
790,666,680,713
800,666,681,714
810,674,688,722
820,675,689,721
830,675,689,722
840,675,687,722
850,674,687,721
860,673,687,720
870,672,686,720
880,671,685,719
890,670,684,717
900,671,684,718
910,670,683,716
920,670,715,752
930,707,720,756
940,708,722,758
950,709,724,759
960,709,723,758
970,708,722,757
980,708,722,758
990,708,722,757
1000,706,719,754
1010,702,716,751
1020,702,716,751
1030,702,715,750
1040,704,718,752
1050,731,746,782
1060,731,745,782
1070,731,745,782
1080,731,746,783
1090,731,746,782
1100,731,745,782
1110,731,745,782
1120,731,745,782
1130,732,747,783
1140,733,747,783
1150,733,746,783
1160,720,733,769
1170,721,733,769
1180,722,733,769
1190,715,724,756
1200,691,702,735
1210,689,701,736
1220,689,699,733
1230,679,680,718
1240,694,702,738
1250,732,739,774
1260,702,685,708
1270,698,692,728
1280,696,703,738
1290,707,708,742
1300,721,721,755
1310,707,701,707
1320,747,725,701
1330,732,637,730
