Time_ms,Thumb,Middle,Pinky
0,737,756,791
10,737,756,791
20,737,756,791
30,737,755,791
40,737,756,791
50,737,756,790
60,737,756,791
70,737,756,791
80,737,755,791
90,737,756,791
100,737,756,791
110,737,756,791
120,736,756,791
130,737,755,791
140,737,756,792
150,737,756,790
160,737,756,791
170,737,756,791
180,737,756,791
190,737,755,791
200,737,756,791
210,737,756,792
220,737,756,791
230,737,756,791
240,737,756,790
250,737,756,791
260,737,756,791
270,737,756,791
280,737,756,791
290,737,756,791
300,737,756,791
310,737,755,791
320,737,756,792
330,737,756,791
340,737,756,790
350,737,756,791
360,737,756,791
370,737,755,791
380,737,756,791
390,737,756,791
400,737,755,791
410,737,756,791
420,737,756,792
430,737,756,790
440,737,756,791
450,737,756,791
460,737,756,791
470,737,756,790
480,737,756,791
490,737,756,791
500,737,755,791
510,737,756,791
520,737,756,791
530,737,756,790
540,736,756,791
550,737,756,791
560,737,756,791
570,737,756,791
580,737,756,791
590,737,756,791
600,737,755,791
610,737,756,792
620,737,756,790
630,737,756,791
640,737,756,791
650,737,755,791
660,737,755,791
670,737,756,791
680,737,756,791
690,737,756,791
700,737,755,791
710,737,756,792
720,737,756,790
730,737,755,791
740,737,756,791
750,737,756,791
760,737,755,791
770,737,756,791
780,737,756,791
790,737,756,791
800,737,756,791
810,737,756,790
820,737,756,792
830,737,756,791
840,737,755,791
850,737,756,791
860,737,756,791
870,737,756,791
880,737,756,791
890,737,756,791
900,737,756,791
910,737,756,790
920,737,756,791
930,737,755,791
940,737,755,791
950,737,756,792
960,737,756,791
970,737,756,791
980,737,756,791
990,737,756,791
1000,737,756,790
1010,737,756,791
1020,737,756,791
1030,737,755,791
1040,737,756,791
1050,737,756,792
1060,737,756,791
1070,737,756,791
1080,737,756,791
1090,737,756,791
1100,737,756,791
1110,737,756,791
1120,736,755,791
1130,737,756,791
1140,737,756,791
1150,737,756,792
1160,737,756,791
1170,737,756,791
1180,736,756,792
1190,737,756,791
1200,737,756,791
1210,737,756,791
1220,737,756,791
1230,737,756,791
1240,737,756,791
1250,738,756,791
1260,738,756,791
1270,738,756,791
1280,738,756,791
1290,739,756,791
1300,739,756,791
1310,739,756,791
1320,739,757,791
1330,741,756,791
1340,742,757,791
1350,743,756,792
1360,745,756,792
1370,747,757,792
1380,749,757,791
1390,752,757,793
1400,754,758,792
1410,758,758,793
1420,761,758,793
1430,765,758,794
1440,769,759,795
1450,773,759,796
1460,777,760,797
1470,781,761,799
1480,784,762,801
1490,789,763,803
1500,792,764,805
1510,796,766,808
1520,798,766,810
1530,801,768,813
1540,804,770,816
1550,807,771,817
1560,809,772,821
1570,811,774,823
1580,814,776,826
1590,816,777,828
1600,818,778,831
1610,821,780,832
1620,823,781,833
1630,825,783,836
1640,827,784,837
1650,830,786,839
1660,832,787,841
1670,834,789,842
1680,836,790,843
1690,838,791,845
1700,840,793,846
1710,842,794,847
1720,844,795,849
1730,845,797,850
1740,847,798,851
1750,849,799,853
1760,850,801,854
1770,852,802,855
1780,854,802,856
1790,855,804,857
1800,856,804,858
1810,858,805,859
1820,859,806,860
1830,860,808,862
1840,861,808,863
1850,862,808,864
1860,863,809,864
1870,864,810,865
1880,865,811,866
1890,866,812,867
1900,866,812,868
1910,867,813,869
1920,868,814,870
1930,869,815,871
1940,870,815,872
1950,871,816,872
1960,871,816,871
1970,872,817,873
1980,872,817,873
1990,873,818,873
2000,873,818,873
2010,874,820,874
2020,874,820,875
2030,874,820,874
2040,874,821,874
2050,874,821,875
2060,874,822,875
2070,874,822,875
2080,874,823,876
2090,874,822,877
2100,874,822,876
2110,874,822,877
2120,874,822,877
2130,874,822,877
2140,874,823,878
2150,873,823,878
2160,873,824,878
2170,873,823,878
2180,872,824,879
2190,872,823,878
2200,872,825,879
2210,872,825,879
2220,872,825,879
2230,872,825,879
2240,872,825,878
2250,872,825,880
2260,872,826,880
2270,872,826,881
2280,872,827,881
2290,872,827,881
2300,872,827,881
2310,872,827,881
2320,872,827,881
2330,872,828,881
2340,872,828,881
2350,871,828,881
2360,871,828,881
2370,871,828,881
2380,872,829,881
2390,871,829,882
2400,872,829,880
2410,871,829,882
2420,872,830,882
2430,872,830,882
2440,872,830,883
2450,873,830,885
2460,874,829,886
2470,874,828,886
2480,875,828,886
2490,875,828,887
2500,876,829,887
2510,877,829,887
2520,877,831,887
2530,877,830,886
2540,876,829,886
2550,878,829,886
2560,879,830,886
2570,876,827,883
2580,874,826,882
2590,877,828,884
2600,873,825,881
2610,869,821,876
2620,871,824,880
2630,865,820,872
2640,853,806,860
2650,833,804,863
2660,851,794,869
2670,864,817,872
2680,864,817,871
2690,865,820,874
2700,865,817,872
2710,865,818,872
2720,865,818,872
2730,865,818,872
2740,867,819,873
2750,866,818,872
2760,866,819,871
2770,865,819,872
2780,866,818,871
2790,866,818,872
2800,865,819,872
2810,865,818,871
2820,865,818,872
2830,865,819,871
2840,865,818,871
2850,865,818,871
2860,870,823,876
2870,869,822,875
2880,868,821,874
2890,868,820,873
2900,868,820,873
2910,868,820,873
2920,867,820,873
2930,867,820,873
2940,867,820,873
2950,868,820,873
2960,867,820,873
2970,867,820,873
2980,867,820,873
2990,867,820,873
3000,867,820,873
3010,867,820,873
3020,867,819,873
3030,867,820,873
3040,867,820,873
3050,867,820,873
3060,867,819,873
3070,872,824,878
3080,872,825,879
3090,872,825,877
3100,873,825,878
3110,873,825,878
3120,873,824,878
3130,873,825,879
3140,873,825,879
3150,865,817,871
3160,870,824,879
3170,875,827,881
3180,874,826,880
3190,872,825,878
3200,874,827,881
3210,874,827,881
3220,872,825,880
3230,874,827,881
3240,873,826,879
3250,876,828,883
3260,876,829,882
3270,876,829,882
3280,876,828,882
3290,875,828,883
3300,876,828,882
3310,876,828,882
3320,876,828,882
3330,876,828,881
3340,875,828,882
3350,875,827,882
3360,874,827,881
3370,875,828,880
3380,872,825,878
3390,872,825,878
3400,875,828,881
3410,875,827,881
3420,875,828,881
3430,876,828,881
3440,875,828,881
3450,875,827,880
3460,874,826,880
3470,875,827,881
3480,872,825,877
3490,875,828,881
3500,875,828,881
3510,875,828,881
3520,875,828,881
3530,875,828,881
3540,875,828,881
3550,875,828,881
3560,875,828,881
3570,876,828,881
3580,875,828,881
3590,876,828,881
3600,875,828,881
3610,875,828,881
3620,875,828,881
3630,875,828,880
3640,875,828,880
3650,875,828,881
3660,875,828,881
3670,875,827,879
3680,874,827,879
3690,875,827,880
3700,875,827,880
3710,875,827,880
3720,874,827,879
3730,867,823,874
3740,868,821,874
3750,873,827,880
3760,875,828,880
3770,875,828,881
3780,875,828,881
3790,875,828,880
3800,875,827,881
3810,875,827,881
3820,875,828,881
3830,875,828,881
3840,876,828,881
3850,875,828,880
3860,875,827,880
3870,875,827,880
3880,875,827,880
3890,875,827,880
3900,874,827,880
3910,875,827,880
3920,875,827,880
3930,875,827,880
3940,875,828,880
3950,875,827,881
3960,875,827,880
3970,875,828,881
3980,876,827,881
3990,875,827,881
