Time_ms,Thumb,Middle,Pinky
0,737,770,807
10,736,769,807
20,736,769,807
30,736,769,807
40,736,769,804
50,736,769,807
60,736,769,806
70,736,769,807
80,736,769,807
90,736,770,806
100,737,769,807
110,736,769,806
120,736,769,807
130,736,769,807
140,736,770,807
150,736,770,806
160,737,769,807
170,736,770,806
180,736,769,806
190,736,769,807
200,736,769,806
210,736,769,807
220,736,769,807
230,737,770,807
240,736,769,806
250,736,769,806
260,736,770,807
270,736,769,806
280,737,769,805
290,736,769,806
300,736,769,806
310,736,769,806
320,736,770,806
330,737,769,807
340,736,769,806
350,736,769,807
360,736,769,806
370,736,769,806
380,736,769,805
390,736,770,806
400,736,769,807
410,736,769,807
420,737,769,806
430,736,770,806
440,737,768,806
450,736,769,807
460,737,769,806
470,737,770,806
480,736,769,806
490,736,769,806
500,736,770,807
510,737,770,807
520,736,769,807
530,736,769,805
540,736,769,806
550,736,769,807
560,736,769,807
570,736,769,807
580,736,769,806
590,736,770,806
600,736,769,806
610,736,769,806
620,736,770,806
630,737,770,806
640,736,769,806
650,736,769,806
660,736,769,806
670,737,770,806
680,737,770,807
690,736,770,806
700,736,769,806
710,736,770,806
720,736,769,806
730,736,769,806
740,737,769,807
750,736,769,807
760,736,770,807
770,736,769,806
780,736,769,806
790,736,769,807
800,737,770,807
810,736,770,807
820,736,769,806
830,736,769,806
840,736,770,806
850,736,769,806
860,736,769,806
870,736,769,807
880,736,770,806
890,736,770,807
900,737,769,806
910,736,770,806
920,736,770,806
930,736,769,804
940,736,769,806
950,736,769,807
960,737,770,806
970,736,769,806
980,736,769,807
990,736,769,806
1000,736,769,806
1010,736,769,806
1020,736,769,807
1030,737,770,806
1040,737,769,806
1050,736,770,807
1060,736,770,806
1070,736,769,806
1080,736,769,806
1090,737,769,805
1100,736,770,807
1110,737,769,806
1120,736,769,806
1130,736,770,806
1140,736,770,806
1150,736,769,806
1160,736,769,804
1170,737,769,806
1180,736,769,806
1190,736,769,805
1200,736,769,806
1210,736,769,807
1220,736,769,806
1230,736,769,807
1240,736,769,806
1250,736,770,807
1260,736,770,807
1270,736,769,806
1280,736,769,807
1290,737,769,807
1300,736,770,807
1310,737,769,807
1320,737,769,805
1330,738,769,807
1340,738,769,804
1350,738,769,807
1360,738,769,807
1370,739,769,806
1380,738,770,807
1390,739,770,807
1400,739,769,807
1410,740,769,807
1420,742,770,807
1430,743,770,807
1440,743,769,805
1450,744,770,807
1460,745,770,807
1470,747,770,807
1480,748,770,808
1490,750,770,807
1500,751,771,808
1510,754,772,807
1520,755,772,809
1530,756,774,810
1540,758,774,809
1550,760,776,810
1560,762,777,810
1570,764,779,809
1580,764,781,812
1590,767,782,813
1600,768,785,814
1610,769,786,816
1620,771,788,817
1630,773,790,819
1640,775,792,822
1650,776,794,823
1660,779,795,825
1670,780,798,827
1680,782,799,829
1690,784,800,831
1700,785,802,833
1710,786,803,836
1720,788,805,838
1730,789,806,840
1740,791,808,841
1750,792,809,843
1760,794,811,844
1770,795,812,845
1780,796,814,847
1790,797,816,848
1800,799,817,850
1810,800,819,852
1820,801,818,853
1830,804,818,855
1840,804,819,855
1850,806,820,857
1860,806,821,856
1870,807,821,859
1880,808,821,860
1890,809,822,861
1900,810,822,862
1910,811,822,863
1920,811,823,865
1930,812,824,865
1940,813,825,867
1950,814,827,868
1960,815,827,869
1970,815,827,870
1980,816,827,870
1990,817,827,871
2000,817,828,871
2010,818,828,872
2020,819,828,873
2030,819,827,873
2040,820,827,874
2050,820,828,875
2060,820,828,875
2070,821,827,876
2080,822,828,877
2090,821,828,877
2100,822,829,878
2110,822,829,877
2120,822,828,879
2130,822,828,879
2140,822,829,881
2150,822,829,879
2160,822,829,879
2170,822,829,880
2180,823,828,881
2190,823,828,881
2200,823,829,879
2210,823,829,882
2220,824,828,882
2230,823,829,881
2240,823,829,884
2250,824,829,885
2260,824,829,883
2270,824,829,886
2280,824,830,885
2290,824,829,885
2300,824,830,886
2310,824,830,887
2320,825,830,887
2330,825,831,887
2340,824,831,885
2350,824,831,886
2360,824,831,888
2370,824,830,888
2380,825,830,888
2390,825,831,888
2400,825,831,889
2410,825,831,889
2420,825,831,887
2430,826,831,887
2440,826,832,889
2450,826,832,888
2460,826,832,887
2470,826,831,887
2480,826,832,890
2490,826,832,891
2500,826,833,889
2510,826,833,890
2520,827,833,891
2530,827,833,891
2540,827,833,891
2550,827,833,890
2560,828,833,892
2570,827,833,892
2580,828,833,892
2590,828,834,894
2600,828,833,895
2610,828,834,895
2620,828,834,895
2630,828,833,894
2640,829,833,895
2650,829,834,895
2660,829,834,895
2670,828,833,894
2680,829,834,895
2690,829,834,895
2700,829,834,895
2710,829,834,895
2720,829,833,895
2730,829,834,895
2740,829,833,895
2750,829,834,895
2760,830,834,895
2770,830,834,895
2780,830,834,895
2790,830,835,895
2800,830,835,895
2810,830,834,896
2820,831,834,896
2830,830,834,896
2840,831,835,895
2850,830,834,896
2860,830,835,895
2870,830,836,895
2880,831,836,897
2890,831,836,895
2900,831,836,895
2910,831,837,895
2920,831,837,895
2930,831,838,895
2940,831,838,895
2950,831,838,896
2960,831,838,895
2970,831,838,895
2980,831,838,895
2990,832,838,895
3000,832,838,895
3010,831,838,895
3020,831,839,896
3030,831,838,896
3040,832,838,895
3050,832,838,895
3060,831,839,893
3070,832,838,895
3080,832,838,895
3090,831,838,895
3100,831,839,895
3110,832,838,895
3120,832,838,895
3130,832,839,893
3140,832,839,893
3150,831,839,895
3160,831,839,893
3170,832,840,896
3180,831,839,895
3190,831,839,893
3200,832,839,895
3210,832,839,895
3220,831,838,895
3230,832,839,895
3240,832,840,895
3250,832,839,895
3260,831,839,895
3270,832,840,895
3280,832,840,895
3290,832,839,895
3300,831,840,896
3310,832,840,895
3320,832,840,895
3330,832,841,895
3340,832,841,895
3350,832,840,895
3360,832,840,895
3370,832,840,895
3380,832,840,895
3390,832,840,895
3400,832,840,895
3410,832,840,895
3420,832,840,894
3430,831,840,895
3440,831,841,895
3450,832,840,895
3460,832,841,895
3470,831,841,894
3480,832,840,895
3490,832,840,895
3500,832,841,894
3510,832,841,895
3520,832,841,892
3530,832,841,894
3540,831,840,895
3550,831,840,894
3560,832,841,894
3570,832,841,892
3580,831,840,894
3590,831,840,894
3600,832,840,894
3610,831,841,893
3620,831,840,895
3630,831,841,894
3640,832,841,894
3650,831,842,895
3660,831,841,894
3670,832,841,894
3680,831,841,893
3690,832,841,893
3700,831,841,894
3710,832,841,894
3720,831,841,894
3730,831,841,894
3740,831,841,894
3750,832,841,892
3760,832,841,893
3770,832,840,893
3780,832,841,894
3790,833,841,893
3800,831,841,891
3810,832,841,894
3820,832,841,894
3830,832,841,893
3840,832,841,893
3850,831,841,892
3860,832,841,893
3870,832,841,893
3880,831,841,893
3890,831,841,891
3900,831,841,893
3910,831,840,893
3920,832,841,894
3930,831,840,893
3940,832,841,893
3950,832,840,893
3960,831,840,893
3970,831,840,893
3980,831,840,893
3990,831,840,893
