Time_ms,Thumb,Middle,Pinky
0,741,767,807
10,742,767,807
20,742,767,808
30,741,767,808
40,741,767,807
50,742,768,807
60,741,767,808
70,742,767,807
80,741,767,808
90,742,767,807
100,741,767,808
110,742,767,807
120,741,767,808
130,742,767,807
140,742,767,808
150,741,767,807
160,741,767,807
170,742,767,807
180,741,767,807
190,742,767,807
200,742,767,807
210,741,767,808
220,742,767,807
230,742,767,807
240,741,767,807
250,741,767,808
260,742,767,807
270,741,767,807
280,741,767,807
290,741,767,808
300,741,767,807
310,742,767,807
320,741,767,807
330,741,767,807
340,742,767,807
350,742,767,807
360,742,767,807
370,741,768,808
380,741,767,807
390,741,767,807
400,742,767,807
410,741,767,807
420,742,767,807
430,742,767,807
440,741,767,807
450,742,767,807
460,741,767,807
470,741,767,808
480,741,767,807
490,741,767,807
500,741,767,807
510,741,767,807
520,741,767,807
530,742,767,807
540,742,766,808
550,741,767,807
560,741,768,807
570,741,767,806
580,742,767,807
590,741,767,808
600,741,766,807
610,741,768,807
620,741,767,807
630,741,767,807
640,742,767,808
650,742,767,807
660,741,767,808
670,742,767,807
680,742,767,807
690,741,767,807
700,741,767,807
710,741,767,807
720,741,767,807
730,742,767,807
740,741,767,807
750,741,767,807
760,742,767,807
770,741,766,807
780,741,767,807
790,741,767,807
800,740,767,807
810,741,766,807
820,742,767,807
830,741,767,807
840,741,767,807
850,741,767,808
860,741,767,807
870,742,767,807
880,741,767,807
890,741,767,807
900,741,767,807
910,741,767,808
920,741,767,807
930,741,767,807
940,740,767,807
950,741,767,808
960,742,767,808
970,741,767,807
980,740,767,807
990,741,767,807
1000,740,767,806
1010,741,767,807
1020,741,767,808
1030,741,767,808
1040,742,767,807
1050,741,767,807
1060,741,767,807
1070,741,767,807
1080,742,767,807
1090,741,767,807
1100,741,767,807
1110,741,767,807
1120,741,767,807
1130,741,766,807
1140,741,767,807
1150,741,767,807
1160,741,767,806
1170,740,767,807
1180,741,767,807
1190,741,767,807
1200,741,767,807
1210,741,767,807
1220,741,767,808
1230,741,766,807
1240,741,767,807
1250,740,767,806
1260,741,767,806
1270,742,767,807
1280,741,767,807
1290,741,767,807
1300,741,767,807
1310,741,768,807
1320,741,768,807
1330,741,767,806
1340,741,768,807
1350,741,767,807
1360,740,767,807
1370,741,767,807
1380,741,767,807
1390,741,767,807
1400,741,767,807
1410,741,767,807
1420,741,767,807
1430,741,767,807
1440,741,767,807
1450,741,767,807
1460,741,767,807
1470,741,767,807
1480,741,767,807
1490,741,767,807
1500,741,767,807
1510,741,767,807
1520,741,767,807
1530,742,767,806
1540,742,768,807
1550,743,767,807
1560,742,768,807
1570,742,768,807
1580,743,767,807
1590,743,768,807
1600,743,768,806
1610,743,769,807
