Time_ms,Thumb,Middle,Pinky
0,739,766,804
10,739,765,803
20,739,765,803
30,739,765,804
40,739,765,803
50,739,765,803
60,739,765,803
70,739,765,804
80,740,766,803
90,739,765,803
100,739,766,806
110,739,765,803
120,739,765,803
130,739,765,804
140,739,766,803
150,739,765,803
160,739,765,804
170,739,765,803
180,739,766,803
190,740,765,802
200,739,765,803
210,739,765,803
220,739,766,804
230,739,765,803
240,739,765,803
250,739,765,803
260,739,765,804
270,738,765,803
280,739,765,801
290,739,766,804
300,740,765,803
310,739,765,803
320,739,765,803
330,739,765,803
340,739,765,803
350,739,765,804
360,740,765,803
370,739,765,804
380,739,765,803
390,739,765,804
400,739,765,804
410,739,765,803
420,739,764,803
430,739,765,804
440,739,765,803
450,739,765,803
460,739,765,803
470,739,765,804
480,739,765,804
490,739,766,804
500,738,765,803
510,739,765,803
520,739,765,803
530,740,765,801
540,739,765,803
550,739,765,804
560,739,765,803
570,740,765,803
580,739,765,804
590,739,766,803
600,739,765,803
610,739,765,804
620,739,765,804
630,740,765,804
640,739,765,803
650,739,764,803
660,739,765,803
670,739,766,803
680,739,765,803
690,739,765,804
700,740,765,804
710,739,765,803
720,739,764,803
730,740,765,804
740,739,765,803
750,739,765,803
760,740,765,803
770,739,765,803
780,739,765,803
790,739,764,804
800,740,764,804
810,739,765,803
820,739,766,803
830,739,765,803
840,739,765,804
850,739,765,803
860,738,764,803
870,739,765,803
880,739,765,803
890,739,766,805
900,739,765,803
910,739,765,804
920,738,765,803
930,739,766,802
940,739,765,803
950,739,764,803
960,738,765,803
970,739,765,803
980,739,764,803
990,738,765,802
1000,739,765,803
1010,739,765,804
1020,739,765,801
1030,739,765,804
1040,739,765,803
1050,739,765,804
1060,739,765,803
1070,739,765,803
1080,739,764,804
1090,739,765,803
1100,739,765,803
1110,739,765,803
1120,739,765,803
1130,738,765,803
1140,739,765,803
1150,739,765,803
1160,739,765,803
1170,739,765,801
1180,739,765,804
1190,739,765,803
1200,740,765,802
1210,739,765,803
1220,739,765,801
1230,739,765,803
1240,738,765,803
1250,739,765,803
1260,739,764,802
1270,738,765,803
1280,738,765,804
1290,739,765,803
1300,739,765,803
1310,739,765,803
1320,739,765,803
1330,738,765,803
1340,739,765,802
1350,738,765,801
1360,739,765,803
1370,739,765,803
1380,739,765,803
1390,739,766,803
1400,739,765,802
1410,739,765,803
1420,739,765,803
1430,739,766,803
1440,738,765,803
1450,738,766,803
1460,739,765,803
1470,739,765,803
1480,739,766,805
1490,740,765,803
1500,740,765,803
1510,740,766,804
1520,740,765,803
1530,740,765,804
1540,740,765,803
1550,740,766,803
1560,741,766,803
1570,742,766,803
1580,741,766,805
1590,742,767,803
1600,743,766,803
1610,744,767,803
1620,745,767,804
1630,746,768,804
1640,747,769,804
1650,749,768,804
1660,750,770,804
1670,752,770,804
1680,754,771,805
1690,755,772,804
1700,757,773,805
1710,759,776,806
1720,761,776,806
1730,763,778,806
1740,765,779,808
1750,766,781,807
1760,768,783,809
1770,769,784,811
1780,771,786,812
1790,772,788,814
1800,774,790,815
1810,775,792,818
1820,777,793,820
1830,776,795,823
1840,777,798,825
1850,778,799,828
1860,779,799,830
1870,779,801,832
1880,781,804,834
1890,781,804,837
1900,782,805,838
1910,783,807,840
1920,783,808,842
1930,784,810,844
1940,785,812,846
1950,786,815,847
1960,787,817,848
1970,788,818,850
1980,788,820,851
1990,789,822,852
2000,789,824,854
2010,791,826,855
2020,791,827,857
2030,792,828,857
2040,792,829,859
2050,794,829,860
2060,793,830,861
2070,794,830,862
2080,795,831,862
2090,795,831,864
2100,796,831,865
2110,796,832,866
