epoch,accuracy,loss,val_accuracy,val_loss
1,0.06467662006616592,2.3100037574768066,0.08500000089406967,2.283381700515747
2,0.145936980843544,2.277804136276245,0.14000000059604645,2.253814220428467
3,0.23217247426509857,2.2315139770507812,0.20999999344348907,2.1888320446014404
4,0.2951907217502594,2.146998405456543,0.2800000011920929,2.0686702728271484
5,0.32006633281707764,1.993003487586975,0.4350000023841858,1.8890286684036255
6,0.34825870394706726,1.8211623430252075,0.3799999952316284,1.7182722091674805
7,0.4344941973686218,1.6578662395477295,0.6200000047683716,1.5615696907043457
8,0.5024875402450562,1.5152809619903564,0.5649999976158142,1.4388729333877563
9,0.6301824450492859,1.395259976387024,0.6800000071525574,1.3053439855575562
10,0.6998341679573059,1.275213360786438,0.7099999785423279,1.1936161518096924
11,0.7164179086685181,1.170438528060913,0.7649999856948853,1.1012072563171387
12,0.7247098088264465,1.0831084251403809,0.7649999856948853,1.0233972072601318
13,0.7180762887001038,1.018024206161499,0.7599999904632568,0.9672303795814514
14,0.7446103096008301,0.9563182592391968,0.8050000071525574,0.9079327583312988
15,0.7595356702804565,0.909304678440094,0.800000011920929,0.8692505359649658
16,0.7860696315765381,0.8658422231674194,0.7799999713897705,0.8288914561271667
17,0.7728026509284973,0.8318055272102356,0.7850000262260437,0.7970366477966309
18,0.7711442708969116,0.796765148639679,0.8050000071525574,0.7707965970039368
19,0.7810945510864258,0.7731093764305115,0.800000011920929,0.7425112128257751
20,0.7960199117660522,0.7443456053733826,0.7850000262260437,0.7230897545814514
21,0.7810945510864258,0.7231593132019043,0.800000011920929,0.6995046734809875
22,0.7810945510864258,0.7009931206703186,0.8299999833106995,0.6802839636802673
23,0.7877280116081238,0.6855126619338989,0.8149999976158142,0.6657044887542725
24,0.7877280116081238,0.6657057404518127,0.800000011920929,0.6528622508049011
25,0.8059701323509216,0.6539859771728516,0.800000011920929,0.6404890418052673
26,0.7927031517028809,0.6384693384170532,0.800000011920929,0.6215006113052368
27,0.7893863916397095,0.6227009296417236,0.8100000023841858,0.6090591549873352
28,0.7927031517028809,0.6117095351219177,0.7950000166893005,0.6020755171775818
29,0.8043117523193359,0.601914644241333,0.8050000071525574,0.5926344394683838
30,0.8009950518608093,0.5891679525375366,0.8050000071525574,0.5851492881774902
31,0.7976782917976379,0.5772751569747925,0.824999988079071,0.5687379837036133
32,0.8308457732200623,0.5652920603752136,0.8299999833106995,0.5710351467132568
