Model,Shift Level,Run,Accuracy (%)
1D-CNN,Clean,1,97.00000286
1D-CNN,Clean,2,87.99999952
1D-CNN,Clean,3,96.49999738
1D-CNN,Clean,4,93.99999976
1D-CNN,Clean,5,93.00000072
1D-CNN,Clean,6,75.99999905
1D-CNN,Clean,7,96.49999738
1D-CNN,Clean,8,93.99999976
1D-CNN,Clean,9,88.99999857
1D-CNN,Clean,10,88.99999857
1D-CNN,-1s,1,44.49999928
1D-CNN,-1s,2,47.99999893
1D-CNN,-1s,3,38.99999857
1D-CNN,-1s,4,45.50000131
1D-CNN,-1s,5,42.50000119
1D-CNN,-1s,6,31.49999976
1D-CNN,-1s,7,34.00000036
1D-CNN,-1s,8,36.00000143
1D-CNN,-1s,9,47.99999893
1D-CNN,-1s,10,40.50000012
1D-CNN,+1s,1,37.99999952
1D-CNN,+1s,2,36.50000095
1D-CNN,+1s,3,46.99999988
1D-CNN,+1s,4,39.50000107
1D-CNN,+1s,5,35.49999893
1D-CNN,+1s,6,26.49999857
1D-CNN,+1s,7,31.49999976
1D-CNN,+1s,8,34.49999988
1D-CNN,+1s,9,68.99999976
1D-CNN,+1s,10,34.9999994
SimpleRNN-8,Clean,1,93.00000072
SimpleRNN-8,Clean,2,93.00000072
SimpleRNN-8,Clean,3,91.00000262
SimpleRNN-8,Clean,4,91.00000262
SimpleRNN-8,Clean,5,89.99999762
SimpleRNN-8,Clean,6,88.99999857
SimpleRNN-8,Clean,7,92.00000167
SimpleRNN-8,Clean,8,87.5
SimpleRNN-8,Clean,9,87.5
SimpleRNN-8,Clean,10,91.50000215
SimpleRNN-8,-1s,1,89.99999762
SimpleRNN-8,-1s,2,92.50000119
SimpleRNN-8,-1s,3,88.99999857
SimpleRNN-8,-1s,4,91.00000262
SimpleRNN-8,-1s,5,87.99999952
SimpleRNN-8,-1s,6,87.99999952
SimpleRNN-8,-1s,7,92.50000119
SimpleRNN-8,-1s,8,85.50000191
SimpleRNN-8,-1s,9,87.5
SimpleRNN-8,-1s,10,92.00000167
SimpleRNN-8,+1s,1,91.00000262
SimpleRNN-8,+1s,2,87.99999952
SimpleRNN-8,+1s,3,91.50000215
SimpleRNN-8,+1s,4,91.00000262
SimpleRNN-8,+1s,5,88.99999857
SimpleRNN-8,+1s,6,88.99999857
SimpleRNN-8,+1s,7,90.49999714
SimpleRNN-8,+1s,8,81.99999928
SimpleRNN-8,+1s,9,87.5
SimpleRNN-8,+1s,10,92.00000167
LSTM-8,Clean,1,95.99999785
LSTM-8,Clean,2,95.49999833
LSTM-8,Clean,3,94.49999928
LSTM-8,Clean,4,95.49999833
LSTM-8,Clean,5,93.50000024
LSTM-8,Clean,6,94.99999881
LSTM-8,Clean,7,93.00000072
LSTM-8,Clean,8,92.50000119
LSTM-8,Clean,9,93.50000024
LSTM-8,Clean,10,93.00000072
LSTM-8,-1s,1,94.99999881
LSTM-8,-1s,2,93.99999976
LSTM-8,-1s,3,94.99999881
LSTM-8,-1s,4,93.99999976
LSTM-8,-1s,5,92.00000167
LSTM-8,-1s,6,94.99999881
LSTM-8,-1s,7,92.50000119
LSTM-8,-1s,8,92.50000119
LSTM-8,-1s,9,91.00000262
LSTM-8,-1s,10,91.00000262
LSTM-8,+1s,1,92.00000167
LSTM-8,+1s,2,89.99999762
LSTM-8,+1s,3,94.99999881
LSTM-8,+1s,4,93.99999976
LSTM-8,+1s,5,93.00000072
LSTM-8,+1s,6,92.00000167
LSTM-8,+1s,7,88.99999857
LSTM-8,+1s,8,93.00000072
LSTM-8,+1s,9,93.50000024
LSTM-8,+1s,10,91.50000215
LTC-4,Clean,1,88.49999905
LTC-4,Clean,2,89.99999762
LTC-4,Clean,3,91.00000262
LTC-4,Clean,4,92.00000167
LTC-4,Clean,5,90.49999714
LTC-4,Clean,6,91.50000215
LTC-4,Clean,7,89.49999809
LTC-4,Clean,8,91.00000262
LTC-4,Clean,9,89.49999809
LTC-4,Clean,10,89.49999809
LTC-4,-1s,1,87.00000048
LTC-4,-1s,2,87.5
LTC-4,-1s,3,86.50000095
LTC-4,-1s,4,90.49999714
LTC-4,-1s,5,87.5
LTC-4,-1s,6,89.49999809
LTC-4,-1s,7,86.00000143
LTC-4,-1s,8,88.49999905
LTC-4,-1s,9,86.00000143
LTC-4,-1s,10,88.49999905
LTC-4,+1s,1,86.00000143
LTC-4,+1s,2,80.50000072
LTC-4,+1s,3,80.50000072
LTC-4,+1s,4,81.49999976
LTC-4,+1s,5,81.00000024
LTC-4,+1s,6,85.50000191
LTC-4,+1s,7,87.99999952
LTC-4,+1s,8,75.49999952
LTC-4,+1s,9,83.49999785
LTC-4,+1s,10,82.99999833
