epoch,accuracy,loss,val_accuracy,val_loss
0,0.2935323417186737,1.8770664930343628,0.4399999976158142,1.4075791835784912
1,0.4361525774002075,1.2906770706176758,0.5899999737739563,1.4025218486785889
2,0.5356550812721252,1.1569236516952515,0.625,1.0423301458358765
3,0.5505804419517517,1.130447268486023,0.49000000953674316,1.2214280366897583
4,0.5970149040222168,1.001049280166626,0.7049999833106995,0.8569673299789429
5,0.6849088072776794,0.8075249791145325,0.7350000143051147,0.8139082193374634
6,0.6683250665664673,0.8120294809341431,0.6700000166893005,0.8061371445655823
7,0.6716417670249939,0.7425559759140015,0.7900000214576721,0.655077338218689
8,0.711442768573761,0.7767020463943481,0.7699999809265137,0.6563374400138855
9,0.6915422677993774,0.7717331647872925,0.6800000071525574,0.8619391918182373
10,0.6932006478309631,0.7486146092414856,0.6499999761581421,0.8053010702133179
11,0.7097843885421753,0.7082940340042114,0.7649999856948853,0.6783190965652466
12,0.7844112515449524,0.5974432826042175,0.800000011920929,0.5532271862030029
13,0.7810945510864258,0.592545747756958,0.7400000095367432,0.6565982699394226
14,0.7180762887001038,0.7162013649940491,0.7099999785423279,0.7801201343536377
15,0.7578772902488708,0.6134628653526306,0.7900000214576721,0.6055208444595337
16,0.7313432693481445,0.6802189350128174,0.7749999761581421,0.661038339138031
17,0.7661691308021545,0.6463783383369446,0.7450000047683716,0.7410641312599182
18,0.7081260085105896,0.7800081372261047,0.6800000071525574,0.833679735660553
19,0.7728026509284973,0.6111709475517273,0.7649999856948853,0.6162673830986023
20,0.7562189102172852,0.6323282718658447,0.7699999809265137,0.6661574840545654
21,0.7827529311180115,0.6269702315330505,0.7599999904632568,0.7633805274963379
22,0.7844112515449524,0.6064372658729553,0.8399999737739563,0.5890363454818726
23,0.8225538730621338,0.5314543843269348,0.8399999737739563,0.5921383500099182
24,0.8126036524772644,0.5191702246665955,0.8550000190734863,0.5490138530731201
25,0.8126036524772644,0.5302761197090149,0.7799999713897705,0.5963360071182251
26,0.8242122530937195,0.5085171461105347,0.8349999785423279,0.5841102600097656
27,0.8159204125404358,0.5298748016357422,0.7900000214576721,0.6513203978538513
28,0.8407959938049316,0.460000604391098,0.8399999737739563,0.596922755241394
29,0.8192371726036072,0.5230262875556946,0.8700000047683716,0.5125861763954163
30,0.8623548746109009,0.4242851138114929,0.8600000143051147,0.4809763431549072
31,0.7976782917976379,0.5137788653373718,0.8799999952316284,0.444257915019989
32,0.8142620325088501,0.5177456140518188,0.8349999785423279,0.5820064544677734
33,0.8126036524772644,0.5482463240623474,0.8600000143051147,0.481594443321228
34,0.8606964945793152,0.4193355441093445,0.8700000047683716,0.45816677808761597
35,0.8573797941207886,0.41729333996772766,0.8849999904632568,0.4677906930446625
36,0.8540630340576172,0.41715899109840393,0.8299999833106995,0.46776556968688965
37,0.8706467747688293,0.39723658561706543,0.8149999976158142,0.4916439354419708
38,0.809286892414093,0.6017776131629944,0.9049999713897705,0.40937191247940063
39,0.8839137554168701,0.394812673330307,0.8949999809265137,0.415134996175766
40,0.8606964945793152,0.4058990776538849,0.8050000071525574,0.6157934665679932
41,0.7794361710548401,0.7728538513183594,0.8500000238418579,0.4765089452266693
42,0.8242122530937195,0.5445224642753601,0.7900000214576721,0.6267833113670349
43,0.844112753868103,0.44769206643104553,0.8600000143051147,0.47447067499160767
44,0.8358209133148193,0.47576063871383667,0.8149999976158142,0.6911284923553467
