epoch,accuracy,loss,val_accuracy,val_loss
0,0.2935323417186737,2.0112907886505127,0.4350000023841858,1.6199129819869995
1,0.42620232701301575,1.493778944015503,0.4650000035762787,1.2455551624298096
2,0.5257048010826111,1.1829875707626343,0.5899999737739563,1.0684858560562134
3,0.5024875402450562,1.2276211977005005,0.6800000071525574,0.9289071559906006
4,0.6235489249229431,0.9157848358154297,0.7599999904632568,0.7867276072502136
5,0.676616907119751,0.8736557364463806,0.7799999713897705,0.7958222031593323
6,0.7263681888580322,0.7986910343170166,0.75,0.6647050380706787
7,0.7346600294113159,0.7189453840255737,0.6800000071525574,0.9261353015899658
8,0.7230514287948608,0.7351536154747009,0.7799999713897705,0.6402839422225952
9,0.7296848893165588,0.689017653465271,0.75,0.656872034072876
10,0.7014925479888916,0.7424784898757935,0.7599999904632568,0.6418309807777405
11,0.6749585270881653,0.8553601503372192,0.6600000262260437,0.7698924541473389
12,0.6152570247650146,1.0341084003448486,0.5649999976158142,1.0470986366271973
13,0.6865671873092651,0.801619827747345,0.5950000286102295,1.2572948932647705
14,0.6683250665664673,0.9128782153129578,0.7149999737739563,0.730319082736969
15,0.7844112515449524,0.6192804574966431,0.7400000095367432,0.5837652683258057
16,0.7711442708969116,0.6510231494903564,0.7799999713897705,0.5804510712623596
17,0.6998341679573059,0.7963298559188843,0.8050000071525574,0.6743307709693909
18,0.7893863916397095,0.6621106266975403,0.7900000214576721,0.5782614350318909
19,0.7976782917976379,0.5680387616157532,0.8100000023841858,0.5365015268325806
20,0.8126036524772644,0.5319305658340454,0.8149999976158142,0.5336333513259888
21,0.8391376733779907,0.49831175804138184,0.8450000286102295,0.48681697249412537
22,0.7910447716712952,0.5778548717498779,0.7699999809265137,0.5955039262771606
23,0.7827529311180115,0.5800319910049438,0.8600000143051147,0.4859057366847992
24,0.7595356702804565,0.7592182159423828,0.5550000071525574,1.704526424407959
25,0.7097843885421753,0.760012149810791,0.8349999785423279,0.5483444333076477
26,0.8358209133148193,0.5701372027397156,0.6100000143051147,1.0561469793319702
27,0.7993366718292236,0.6194257140159607,0.875,0.4137725532054901
28,0.8407959938049316,0.4652666449546814,0.8799999952316284,0.40237000584602356
29,0.8656716346740723,0.41999900341033936,0.800000011920929,0.4718517065048218
30,0.8076285123825073,0.5302008390426636,0.9150000214576721,0.38158658146858215
31,0.8490878939628601,0.45721980929374695,0.8600000143051147,0.4946140646934509
32,0.878938615322113,0.413923978805542,0.8999999761581421,0.3935556709766388
33,0.8573797941207886,0.39152929186820984,0.8399999737739563,0.4870784282684326
34,0.7943615317344666,0.7288528084754944,0.5849999785423279,1.1828492879867554
35,0.739635169506073,0.7105005979537964,0.800000011920929,0.6571527719497681
36,0.8291873931884766,0.5883442163467407,0.8399999737739563,0.6039895415306091
37,0.8822553753852844,0.4703037738800049,0.7799999713897705,0.6974279880523682
38,0.8308457732200623,0.5075114965438843,0.824999988079071,0.6230531930923462
39,0.872305154800415,0.44053640961647034,0.8949999809265137,0.45411181449890137
40,0.8358209133148193,0.5378559231758118,0.8349999785423279,0.5476937890052795
41,0.8059701323509216,0.5766936540603638,0.9100000262260437,0.4121778607368469
42,0.8175787925720215,0.5531429648399353,0.8799999952316284,0.5166873931884766
43,0.8805969953536987,0.4033079147338867,0.875,0.4042852818965912
44,0.8938640356063843,0.36696138978004456,0.8799999952316284,0.3989848792552948
45,0.8872305154800415,0.3454605042934418,0.8650000095367432,0.47952255606651306
46,0.902155876159668,0.3441929221153259,0.8999999761581421,0.3421550393104553
47,0.8739635348320007,0.4290805459022522,0.8399999737739563,0.5661158561706543
48,0.8358209133148193,0.4949072003364563,0.8450000286102295,0.5045387148857117
49,0.8242122530937195,0.52170729637146,0.8399999737739563,0.6259320974349976
50,0.8756219148635864,0.40175890922546387,0.8600000143051147,0.4322182536125183
51,0.8590381145477295,0.4040357172489166,0.8899999856948853,0.36411553621292114
52,0.9004974961280823,0.33364397287368774,0.8450000286102295,0.4195931553840637
53,0.8872305154800415,0.3652145266532898,0.8999999761581421,0.3497403860092163
54,0.8888888955116272,0.3807834982872009,0.8349999785423279,0.5190363526344299
55,0.8242122530937195,0.520987868309021,0.8650000095367432,0.46644988656044006
56,0.872305154800415,0.40913259983062744,0.9049999713897705,0.3964674472808838
57,0.8739635348320007,0.38950780034065247,0.8700000047683716,0.5065174698829651
58,0.8971807360649109,0.3591430187225342,0.8450000286102295,0.5291155576705933
59,0.8905472755432129,0.33818599581718445,0.8849999904632568,0.40313228964805603
60,0.8772802948951721,0.4140152335166931,0.8899999856948853,0.4105444848537445
61,0.907131016254425,0.33494022488594055,0.8199999928474426,0.627326250076294
62,0.8922056555747986,0.3585449159145355,0.8849999904632568,0.37019044160842896
63,0.8888888955116272,0.395720899105072,0.8849999904632568,0.4030294418334961
64,0.8590381145477295,0.44601860642433167,0.8600000143051147,0.43895453214645386
65,0.8938640356063843,0.34783729910850525,0.824999988079071,0.6532586812973022
66,0.8689883947372437,0.4092332720756531,0.9100000262260437,0.31425198912620544
67,0.9087893962860107,0.2781112790107727,0.8899999856948853,0.3669690787792206
68,0.9054726362228394,0.28253164887428284,0.8999999761581421,0.3334977626800537
69,0.9087893962860107,0.29076048731803894,0.8899999856948853,0.3765667974948883
70,0.9320066571235657,0.2358616292476654,0.8600000143051147,0.4042876064777374
71,0.8922056555747986,0.34328192472457886,0.8899999856948853,0.37019404768943787
72,0.9087893962860107,0.2899784743785858,0.8949999809265137,0.3406662046909332
73,0.8855721354484558,0.33008873462677,0.8600000143051147,0.4372253715991974
74,0.8938640356063843,0.31910040974617004,0.8799999952316284,0.3625165522098541
75,0.8971807360649109,0.30772146582603455,0.8849999904632568,0.42796164751052856
76,0.9121061563491821,0.25725990533828735,0.9100000262260437,0.3283022344112396
77,0.9203979969024658,0.24084530770778656,0.8349999785423279,0.5131013989448547
78,0.8756219148635864,0.3493947982788086,0.8849999904632568,0.3392673134803772
79,0.907131016254425,0.30419376492500305,0.9100000262260437,0.32860881090164185
80,0.9353233575820923,0.21911939978599548,0.9150000214576721,0.33472180366516113
81,0.9220563769340515,0.2338588386774063,0.9200000166893005,0.3017490804195404
82,0.9270315170288086,0.240891233086586,0.9150000214576721,0.34892991185188293
83,0.9170812368392944,0.2798439860343933,0.9100000262260437,0.286832720041275
84,0.9270315170288086,0.20779003202915192,0.9150000214576721,0.2713339924812317
85,0.9187396168708801,0.23594088852405548,0.9150000214576721,0.3001576066017151
