Model,Samples_Per_Class,Run,Accuracy
1D-CNN,60,1,80.0000011920929
1D-CNN,60,2,89.49999809265137
1D-CNN,60,3,97.50000238418579
1D-CNN,60,4,94.49999928474426
1D-CNN,60,5,92.00000166893005
1D-CNN,60,6,91.50000214576721
1D-CNN,60,7,97.00000286102295
1D-CNN,60,8,91.50000214576721
1D-CNN,60,9,88.99999856948853
1D-CNN,60,10,93.99999976158142
1D-CNN,30,1,95.49999833106995
1D-CNN,30,2,92.5000011920929
1D-CNN,30,3,93.00000071525574
1D-CNN,30,4,73.00000190734863
1D-CNN,30,5,86.00000143051147
1D-CNN,30,6,82.4999988079071
1D-CNN,30,7,50.0
1D-CNN,30,8,95.99999785423279
1D-CNN,30,9,93.50000023841858
1D-CNN,30,10,89.99999761581421
1D-CNN,15,1,81.49999976158142
1D-CNN,15,2,84.50000286102295
1D-CNN,15,3,70.99999785423279
1D-CNN,15,4,89.49999809265137
1D-CNN,15,5,91.00000262260437
1D-CNN,15,6,86.00000143051147
1D-CNN,15,7,54.00000214576721
1D-CNN,15,8,84.50000286102295
1D-CNN,15,9,81.49999976158142
1D-CNN,15,10,69.9999988079071
1D-CNN,6,1,50.999999046325684
1D-CNN,6,2,62.5
1D-CNN,6,3,66.50000214576721
1D-CNN,6,4,79.00000214576721
1D-CNN,6,5,59.50000286102295
1D-CNN,6,6,74.00000095367432
1D-CNN,6,7,86.50000095367432
1D-CNN,6,8,85.50000190734863
1D-CNN,6,9,63.999998569488525
1D-CNN,6,10,62.5
1D-CNN,3,1,67.00000166893005
1D-CNN,3,2,54.500001668930054
1D-CNN,3,3,58.99999737739563
1D-CNN,3,4,75.0
1D-CNN,3,5,69.49999928474426
1D-CNN,3,6,37.5
1D-CNN,3,7,67.00000166893005
1D-CNN,3,8,69.49999928474426
1D-CNN,3,9,67.00000166893005
1D-CNN,3,10,62.99999952316284
SimpleRNN-8,60,1,92.00000166893005
SimpleRNN-8,60,2,91.00000262260437
SimpleRNN-8,60,3,93.00000071525574
SimpleRNN-8,60,4,87.5
SimpleRNN-8,60,5,91.00000262260437
SimpleRNN-8,60,6,88.99999856948853
SimpleRNN-8,60,7,90.49999713897705
SimpleRNN-8,60,8,87.5
SimpleRNN-8,60,9,91.00000262260437
SimpleRNN-8,60,10,88.99999856948853
SimpleRNN-8,30,1,89.99999761581421
SimpleRNN-8,30,2,85.00000238418579
SimpleRNN-8,30,3,88.99999856948853
SimpleRNN-8,30,4,88.99999856948853
SimpleRNN-8,30,5,86.50000095367432
SimpleRNN-8,30,6,88.99999856948853
SimpleRNN-8,30,7,87.5
SimpleRNN-8,30,8,88.99999856948853
SimpleRNN-8,30,9,88.49999904632568
SimpleRNN-8,30,10,87.99999952316284
SimpleRNN-8,15,1,84.50000286102295
SimpleRNN-8,15,2,85.00000238418579
SimpleRNN-8,15,3,88.99999856948853
