Time_s,Index_ADC,Index_ADC_smoothed
0.0,728,728.5
0.01,729,728.6
0.02,728,728.5
0.03,729,728.5714285714286
0.04,729,728.5714285714286
0.05,728,728.5714285714286
0.06,729,728.7142857142857
0.07,728,728.5714285714286
0.08,729,728.5714285714286
0.09,729,728.7142857142857
0.1,728,728.7142857142857
0.11,729,728.7142857142857
0.12,729,728.5714285714286
0.13,729,728.5714285714286
0.14,728,728.5714285714286
0.15,728,728.4285714285714
0.16,729,728.4285714285714
0.17,728,728.2857142857143
0.18,728,728.2857142857143
0.19,729,728.2857142857143
0.2,728,728.1428571428571
0.21,728,728.1428571428571
0.22,728,728.1428571428571
0.23,728,728.1428571428571
0.24,728,728.2857142857143
0.25,728,728.4285714285714
0.26,729,728.4285714285714
0.27,729,728.5714285714286
0.28,729,728.7142857142857
0.29,728,728.7142857142857
0.3,729,728.7142857142857
0.31,729,728.7142857142857
0.32,728,728.5714285714286
0.33,729,728.5714285714286
0.34,729,728.4285714285714
0.35,728,728.4285714285714
0.36,728,728.4285714285714
0.37,728,728.2857142857143
0.38,729,728.2857142857143
0.39,728,728.2857142857143
0.4,728,728.2857142857143
0.41,729,728.2857142857143
0.42,728,728.1428571428571
0.43,728,728.1428571428571
0.44,728,728.2857142857143
0.45,728,728.2857142857143
0.46,728,728.2857142857143
0.47,729,728.4285714285714
0.48,729,728.5714285714286
0.49,728,728.5714285714286
0.5,729,728.5714285714286
0.51,729,728.5714285714286
0.52,728,728.5714285714286
0.53,728,728.7142857142857
0.54,729,728.7142857142857
0.55,729,728.5714285714286
0.56,729,728.7142857142857
0.57,729,728.7142857142857
0.58,728,728.7142857142857
0.59,729,728.5714285714286
0.6,728,728.5714285714286
0.61,729,728.4285714285714
0.62,728,728.4285714285714
0.63,729,728.4285714285714
0.64,728,728.4285714285714
0.65,728,728.2857142857143
0.66,729,728.2857142857143
0.67,728,728.2857142857143
0.68,728,728.4285714285714
0.69,728,728.4285714285714
0.7,729,728.4285714285714
0.71,729,728.4285714285714
0.72,728,728.4285714285714
0.73,729,728.5714285714286
0.74,728,728.4285714285714
0.75,728,728.2857142857143
0.76,729,728.4285714285714
0.77,728,728.4285714285714
0.78,728,728.4285714285714
0.79,729,728.5714285714286
0.8,729,728.5714285714286
0.81,728,728.7142857142857
0.82,729,728.8571428571429
0.83,729,728.7142857142857
0.84,729,728.7142857142857
0.85,729,728.8571428571429
0.86,728,728.7142857142857
0.87,729,728.5714285714286
0.88,729,728.5714285714286
0.89,728,728.4285714285714
0.9,728,728.4285714285714
0.91,729,728.2857142857143
0.92,728,728.2857142857143
0.93,728,728.4285714285714
0.94,728,728.4285714285714
0.95,729,728.4285714285714
0.96,729,728.4285714285714
0.97,728,728.4285714285714
0.98,729,728.4285714285714
0.99,728,728.2857142857143
1.0,728,728.1428571428571
1.01,728,728.2857142857143
1.02,728,728.1428571428571
1.03,728,728.1428571428571
1.04,729,728.1428571428571
1.05,728,728.1428571428571
1.06,728,728.2857142857143
1.07,728,728.2857142857143
1.08,728,728.2857142857143
1.09,729,728.2857142857143
1.1,728,728.4285714285714
1.11,729,728.4285714285714
1.12,728,728.4285714285714
1.13,729,728.2857142857143
1.14,728,728.4285714285714
1.15,728,728.2857142857143
1.16,728,728.2857142857143
