Architecture,Units,MeanAccuracy_5ch,StdAccuracy_5ch,Runs_5ch,MeanAccuracy_3ch,StdAccuracy_3ch,Runs_3ch
LTC-1,1,65.6999996304512,10.630668149352012,10,67.45000064373016,1.553669267308471,10
LTC-2,2,83.35000038146973,2.6567526367939904,10,78.10000002384186,2.4013888170866435,10
LTC-4,4,90.29999852180481,1.6020826831651689,10,86.60000026226044,3.025814730287296,10
LTC-8,8,92.30000138282776,0.97752428766699,10,89.39999997615814,2.766866930259872,10
LTC-16,16,92.90000081062317,0.9067638358241636,10,89.75000023841858,2.6588426440895545,10
